body,title,url
"Una de las conductora más bellas de la televisión mexiquense es Anny Borras. 
Ella conduce el programa 100% Grupero que se transmite los sábados a las 20:00 horas, donde se habla de lo mejor de la música grupera. 
En la pagina de Mexiquense TV se destaca que el programa grupero tiene repeticiones los jueves a las 18:00 horas. 
Uno de los datos curiosos de esta conductora, los da en su cuenta de Facebook donde señala que es cantante, actriz y conductora; ademas de que se le puede seguir en su cuenta de Twitter. 
VER: Anayanssi Moreno, la guapa conductora de MexiquenseTV
","Anny Borras, la grupera más guapa de Mexiquense TV ",http://www.unionedomex.mx/articulo/2019/06/10/viral/anny-borras-la-grupera-mas-guapa-de-mexiquense-tv
"
Hoy se informó que en un camino de terracería de una zona cerril de la alcaldía de Xochimilco, fue hallado el cuerpo sin vida de Norberto Ronquillo, estudiante de la Universidad Pedregal que fue secuestrado el martes pasado.
El caso ha causado conmoción entre la sociedad y la exigencia de justicia, por parte de la comunidad estudiantil y de sus familiares.
El cadáver del joven fue hallado a un costado de Avenida del Campo y Avenida de las Cruces, colonia Las Cruces.
¿Qué ocurrió con Norberto Ronquillo?
El joven de 22 años, estudiante de Mercadotecnia Internacional, fue privado de su libertad al salir de la Universidad del Pedregal, ubicada en la alcaldía de Tlalpan. El joven se retiró de las instalaciones alrededor de las 21:00 hrs.
Norberto y su familia son originarios de Meoqui, Chihuahua, sin embargo, el joven estudiaba en la Ciudad de México, en donde vivía con sus tíos.
Según los reportes de la procuraduría capitalina, Norberto le envió un mensaje a su novia de que ya iba a casa de sus tíos, pero no llegó a ese lugar. Poco después, sus familiares recibieron una llamada en la que exigían un pago a cambio de entregarles al muchacho, lo cual no sucedió.
¿En dónde fue el último lugar en dónde fue visto Norberto Ronquillo?
Existe una fotografía tomada por cámaras de seguridad de la Universidad del Pedregal, en donde estudiaba el joven, en la que se aprecia a Norberto a la salida de esa institución.
La Universidad del Pedregal se encuentra en la calle Transmisiones 51, Coapa, Arboledas del Sur, en la alcaldía de Tlalpan.

 


¿Cómo reaccionó la comunidad estudiantil ante el secuestro de Norberto Ronquillo?
 Norberto estaba a punto de graduarse, por lo que ante la denuncia por secuestro presentada por su familia, sus compañeros se solidarizaron ante el hecho.
 La Universidad del Pedregal pospuso la graduación de la generación de Norberto, ya que todos sus compañeros exigen su regreso.
 En redes sociales, su compañeros y familiares iniciaron la campaña #NosFaltaNorberto, con la que han presionado a las autoridades para la resolución del caso.
 Los compañeros de Ronquillo Hernández se tomaron la fotografía de la generación con pancartas que decían: “#NosFaltaNorberto"". El propósito fue exigir justicia y anunciaron que este viernes realizarán una marcha por su amigo desaparecido.
 ¿Las autoridades siguen alguna pista?
 La procuraduría capitalina aseguró que rastrea el GPS del celular de Norberto, pues usó su dispositivo horas antes de que su familia recibiera la llamada con la que se pedía una cantidad de dinero a cambio de su vida.
 Los familiares de Norberto interpusieron la denuncia por el secuestro del muchacho el 7 de junio.

cg
",Lo que sabemos del secuestro de Norberto Ronquillo,http://www.eluniversal.com.mx/metropoli/cdmx/lo-que-sabemos-del-secuestro-de-norberto-ronquillo
"
[email protected]

""Juntos, el corazón nunca se equivoca"" es la nueva teleserie de Juan Osorio, un proyecto que, considera el productor, ayudará a romper paradigmas en la televisión abierta; se trata de una historia que tiene como protagonista a una primera pareja gay.

“Este proyecto significa mucho para mí, estamos dando un paso muy grande en el Canal de las Estrellas y en la televisión abierta; es una evolución que forma parte de esta transformación de contenidos”, dijo Osorio en entrevista con EL UNIVERSAL.

La pareja, conformada por Aristóteles (Emilio Osorio) y Cuauhtémoc (Joaquín Bondoni) formó parte de una de los subtramas de la telenovela Mi marido tiene más familia, con la cual alcanzaron una aceptación tal de parte del público que estrenaron el 14 de marzo un musical llamado Los Aristemos, con el que hicieron gira por varias ciudades de la República Mexicana. Para Osorio, se trata de entretener y también de hablar de la inclusión, la diversidad y la tolerancia.

“Me toca esta parte de responsabilidad de tener en cuenta que a las 20:30 es un horario familiar en el que tenemos al público tradicional pero también al nuevo público que se está sumando; por lo tanto nuestro contenido, nuestra dirección, fotografía y música debe ser especial, que tengan conexión tanto los temas que abordamos en la historia como los protagonistas con la audiencia”, detalló el productor.

El crítico de televisión Roberto Rondero García considera que este es el momento para que la televisión se adapte a la evolución social de un público inteligente y consciente, ya que aunque el melodrama clásico siempre trató de eludirlos, estos temas estaban en la mirada de los televidentes. Sin embargo, nunca se dieron de una manera tan abierta.

“Es tan importante como encender la televisión y saber que ese es el mundo en el que estamos viviendo. Las familias ya no están contempladas como antes, hay otra estructura, esta familia nuclear no es que haya desaparecido sino que se ha modificado; es muy importante que no cerremos los ojos ante una realidad que ahí está”, comentó.

Anteriormente, la televisora ha presentado historias como Los exitosos Pérez, Sortilegio y Like, y Azteca, Secretos de familia, en las que se incluyen parejas gays en personajes secundarios, sin embargo, esta es la primera vez que una historia de un amor gay es la columna principal.

“Se tienen que dar cuenta que si se van a atrever a hacer esta historia ya de manera más protagónica, tienen que dar todo tipo de libertades sin que esto signifique que vayan a ofender a un tipo de televidente que ha estado muy acostumbrado a un contenido, sobre todo del Canal de las Estrellas”, señaló el experto.

La trama de la serie se apoyará en la historia de otras cuatro familias conformadas por actores que regresan a la televisión luego de muchos años sin actuar como Sergio Sendel, Lety Calderón, Víctor González y Laura Flores.

“Hemos tenido mucho cuidado en que sea una historia orgánica donde las otras familias se integren a nuestros Aristemos y de alguna manera guste lo que estamos proponiendo; tenemos los ingredientes del género que contienen melodrama, comedia, amor, y también algo aspiracional”, contó el productor.

En esta nueva etapa Los Aristemos llegan a la Ciudad de México. Provenientes de Oaxaca deciden mudarse para estudiar la universidad y superarse; aparecerán nuevos personajes, entre ellos Carlota (Ale Müller) y Diego (Nikolás Caballero) que serán sus compañeros de casa.

La serie de 26 capítulos se estrenará el domingo 23 de junio a las 21:30 horas y se presentará de manera oficial en el Zócalo capitalino el lunes 24 de junio, donde además Juan Osorio festejará su cumpleaños.

“Estoy muy contento porque como productor ya de muchos años, estar aquí significa mucho para mí y aunque es un reto muy grande también sé que estoy apoyado por un gran equipo de trabajo”.
","Serie gay de Los Aristemo, un gran paso para la TV: Osorio",http://www.eluniversal.com.mx/espectaculos/television/serie-gay-de-los-aristemo-un-gran-paso-para-la-tv-osorio
"

La creación y despliegue de la Guardia Nacional ha sido accidentada y apurada. Las leyes secundarias se aprobaron rápidamente, sin discusión pública, para no dar espacio a resistencias o negociaciones que retrasaran su estreno. El resultado legal no fue bueno. En lo operativo la prisa también parece prevalecer. En redes sociales circulan varios videos donde se muestran las pésimas condiciones en las que se llevan a cabo capacitaciones de soldados que ahora conformarán a la Guardia: tiendas de campaña levantadas sobre el lodo para transformar a nuestros agentes de guerra en personal de seguridad pública. La lluvia encharca el pasto sobre el que están colocados los pupitres. Las capacitaciones parecen así un trámite burocrático que, como las leyes secundarias, debe aprobarse con la mayor celeridad posible.

A la Guardia Nacional se le ha facultado con 43 funciones. Desde detención de migrantes, hasta espionaje, la Guardia hará de todo. En una fracción 44, se establece como competencia: “las demás que confiera esta y otras leyes”. Hace unos días, el gobierno federal anunció el envío de 6 mil elementos a la frontera sur (y el despliegue de la Guardia en todo el país) para contener a los migrantes que entran en el país en su camino a Estados Unidos. Una adecuada capacitación, además de ser una obligación legal, parecería fundamental para evitar abusos en el uso de la fuerza y garantizar una institución respetuosa con los derechos humanos. No olvidemos que la Sedena ha sido frecuentemente señalada por un uso excesivo de la fuerza letal, prácticas de tortura y otras violaciones a los derechos humanos. Lograr el cumplimiento de la ley tendría que ser una prioridad.

Hasta ahora, sin embargo, la idea de la Guardia no parece ser más que una etiqueta en el brazo o vehículos de soldados. (En otras imágenes pueden verse cómo se pintan vehículos verde olivo con blanco y se les agrega le etiqueta “Guardia Nacional”.)

El régimen disciplinario establecido para los elementos de la Guardia tampoco va a ayudar. Según la ley, quienes la infrinjan podrán ser sancionados por sus superiores con amonestaciones, arrestos, restricciones, suspensión del empleo, cambio de unidad o remoción. Mientras que el arresto se hará en “espacios especiales” y tendrá una duración de hasta 36 horas, la restricción —que consiste en quedar a disposición del superior jerárquico, sin disponer de su tiempo libre, ni salir de las instalaciones— será hasta por 15 días. Si bien la ley establece que la imposición de castigos debe ser proporcional, atender a las circunstancias y a los antecedentes; la revisión de estas sanciones es interna, lo que impide que una instancia imparcial intervenga. Además, establece nuevos delitos (penales), específicos para los miembros de la Guardia y permite que se puedan imponer castigos sobre castigos, alargando indefinidamente el tiempo de una restricción. Se trata pues de un régimen altamente punitivo y muy discrecional, que probablemente dará lugar a arbitrariedades y descontento entre los miembros de la Guardia. Así se ha visto en otros contextos —como el policial o el de custodios— donde existen sistemas arbitrarios y discrecionales de sanción.

Quizás con el régimen draconiano de la Guardia se buscaba suplir la falta de capacitación de los soldados convertidos en guardias, pero la evidencia muestra que el establecimiento de modelos de sanción discrecionales no sirven para lograr el respeto a las normas. Estudios realizados por el profesor Tom Tyler —de la Universidad de Yale— sobre soldados y policías de Estados Unidos, muestran que la percepción del ejercicio justo de la autoridad dentro de la institución es mucho más relevante —y barato— para lograr que los miembros de una corporación cumplan con las normas, que el carácter draconiano del sistema de sanciones. Un sistema percibido como injusto, genera resentimiento y soldados descontentos, que con mayor frecuencia incumplen la ley.
 División de Estudios Jurídicos CIDE.
@cataperezcorrea
",Disciplina en la Guardia Nacional ,https://www.eluniversal.com.mx/articulo/catalina-perez-correa/nacion/disciplina-en-la-guardia-nacional
"
[email protected]

Luego del hallazgo del cadáver del joven universitario Norberto Ronquillo en un paraje boscoso de la alcaldía de Xochimilco, la Procuraduría General de Justicia local (PGJ) aceleró las investigaciones para aclarar el caso, y de manera inmediata ordenó una indagatoria exhaustiva a elementos de la Fiscalía Antisecuestro, pues no dudan en que hubiera alguna colusión con los secuestradores.

Lo anterior, para descartar que los especialistas en el tema no hayan actuado conforme lo indica el protocolo en caso de secuestro y dejaran pasar tiempo importante para la investigación, así como información precisa y contundente que pudiera derivar en el rescate de la víctima, pues a decir de la familia, luego que se reportara el secuestro del estudiante de la Universidad del Pedregal, hubo 72 horas clave que no se aprovecharon.

La noche de ayer se puso a disposición del Ministerio Público al primer agente identificado como “Cevallos” por una posible omisión al no resguardar el automóvil Yaris color blanco en el que viajaba Norberto.

Según exámenes realizados por el Instituto de Ciencias Forenses (Incifo), al joven lo tuvieron cautivo por cuatro días y luego lo mataron. La necropsia reveló que murió por asfixia y tenía la nariz fracturada.
 
 

Sin embargo, la procuradora Ernestina Godoy comentó que el deceso ocurrió horas después del plagio.

Con base en las primeras versiones policiales, se difundió que una de las líneas de investigación se centra en el entorno de amistad o “conocidos” de Norberto, que sabía de su situación económica y por lo que pidieron 5 millones de pesos de rescate.

Imágenes de diversas cámaras de vigilancia privadas y del C5 revelan que los secuestradores fueron directo sobre el estudiante, conocían sus movimientos, qué vehículo tripulaba y la ruta que tenía.

“Tenemos algunas líneas de investigación bastante sólidas y dentro de la indagatoria está [revisar] el actuar de todos los elementos —que participaron en las primeras horas— tanto de la Secretaría de Seguridad Ciudadana y si hay alguna responsabilidad de parte de nuestros elementos, también serán sujetos a investigación.

“Todos los involucrados están sujetos a investigación, haremos todo lo que está en nuestras manos para que este acto no quede impune, no va a quedar así”, comentó la procuradora de la capital, Ernestina Godoy, al ser cuestionada sobre el actuar de los agentes, quienes no resguardaron correctamente la escena del crimen y el automóvil que tripulaba Norberto cuando fue secuestrado.
 Caso no quedará impune. La procuradora local, Ernestina Godoy, informó en conferencia que se ordenó una investigación exhaustiva para determinar si autoridades actuaron conforme al protocolo. 
 

Como parte de la investigación se informó que se han analizado más de 20 horas de grabación de por lo menos seis cámaras de vigilancia privadas y del C5 de la Secretaría de Seguridad Ciudadana local (SSC), que permitieron establecer la posible ruta que tomaron los secuestradores.

En ellas se aprecian dos vehículos compactos, cuyos datos se mantienen en el anonimato para no entorpecer la investigación.

Un vehículo sirvió como “muro” y en el segundo escondieron al universitario originario de Meoqui, Chihuahua. Se investigan también dos propiedades que pudieron servir como “casas de seguridad”.

El seguimiento se extendió en las siguientes horas hasta Xochimilco, pues el paraje donde fue encontrado el cuerpo es de difícil acceso.

Con base en esa información, se espera ubicar el vehículo que utilizaron los delincuentes para abandonar el cadáver y dar con los responsables.

Por su parte, la familia de la víctima solicitó la intervención de la Fiscalía General de la República (FGR) para resolver el caso, puesto que consideran que la procuraduría local no actuó de manera inmediata luego que se enteró del secuestro, por lo que piden “agentes investigadores eficientes” a fin de que el secuestro y ejecución de Norberto no queden impunes.

“Lo que le pedimos a las autoridades es que se actúe de manera correcta, en este caso creemos que se perdió tiempo vital. Buscamos que el caso de Norberto marque el presente y que sirva de ejemplo para [que las autoridades] hagan lo necesario para salvar una vida (...), pero no queremos más casos en la Ciudad”, declaró Armando Martínez, rector de la Universidad del Pedregal.
",Contradicciones en caso Norberto; investigan a policías ,http://www.eluniversal.com.mx/metropoli/cdmx/contradicciones-en-caso-norberto-investigan-policias
"

La primera versión indicó que el joven estudiante Norberto Ronquillo murió la noche misma de su secuestro, ocurrido el martes 4 de junio, o tal vez en las primeras horas del día posterior. La necropsia indica que murió el sábado. El parte rendido por los agentes de la Secretaría de Seguridad Ciudadana, cuya copia está en poder del columnista, señala en cambio que el cadáver encontrado en una zona boscosa de Xochimilco, presentaba ya señales de “fauna cadavérica”.
 
 

Norberto tenía 22 años y estaba a punto de recibirse como licenciado en Mercadotecnia en la Universidad del Pedregal. Faltaban solo unas horas para la toma de la foto oficial. Lo interceptaron al salir de la escuela, cerca de las 21:30. En su último mensaje el joven avisó a su novia que se dirigía a casa de sus tíos, en donde vivía.

Antes de las diez de la noche, la familia recibió una llamada de rescate. Los familiares levantaron una denuncia, aunque horas después solicitaron que la Policía de Investigación no interviniera: habían recibido la instrucción de entregar el dinero frente a un autolavado cercano a Acoxpa, al sur de la ciudad de México.

Así lo hicieron. Un familiar acudió más tarde al sitio en que, según los secuestradores, Norberto sería liberado. Regresó con las manos vacías.

La noche del domingo 9 de junio, una llamada al 911 informó del hallazgo de un cuerpo en una zona alta y boscosa de la alcaldía de Xochimilco. A bordo de la patrulla MX-410 R2, dos policías segundos de la coordinación general de la zona oriente, Raúl Salazar y Selena Miranda, arribaron al lugar. Eran las 20:10. El cuerpo, envuelto en cobijas y bolsas negras, se encontraba en el camino a San Pablo, en la colonia Barrio Coyuca. Los asesinos lo habían maniatado por la espalda. El parte indica que se hallaba “en posición decúbito dorsal”, “maniatado de manos a la espalda” y “con fauna cadavérica”. La procuradora aseguró que a Norberto lo habían privado de la vida prácticamente de inmediato.

A media tarde recibí información de que las autoridades habían abierto la hipótesis de un “manejo erróneo del secuestro”, aunque no descartaban otras líneas de investigación. Una fuente cercana al caso aseguró que hay “datos sólidos” que pueden llevar muy pronto al esclarecimiento de esta tragedia. La evidencia indica que Norberto fue llevado a algún lugar de cautiverio. En ese sitio ocurrió su fallecimiento. No se trata de “un típico secuestro extorsivo”, según los investigadores.

Luego de mantener una prolongada tendencia a la baja, el secuestro en la ciudad de México vuelve a convertirse en tema. Entre enero y abril de 2019, se pudo observar un repunte dramático: la tasa creció 77.65% en relación con el mismo periodo de 2018 (datos del Observatorio Nacional Ciudadano).

A menos de 60 días del cambio de gobierno (entre diciembre y enero), los índices de este delito aumentaron 49.6%. Solo en el primer mes de 2019 ocurrieron 23 plagios, según la organización Alto al Secuestro. A nivel nacional no estamos mejor. La tasa aumentó 24.30% entre enero y abril.

El secuestro fue acaso el único delito que bajó durante la administración anterior. En febrero de 2019 removieron, sin embargo, a la Coordinadora Nacional Antisecuestro, Patricia Bugarín, que se hallaba en el cargo desde septiembre de 2015 —y había logrado ejercer un liderazgo efectivo en las 32 Unidades Anti Secuestro (UECS) existentes en el país. Tan efectiva fue la actuación de Bugarín, que el gobierno de AMLO la jaló para que encabezara una subsecretaría en la Secretaría de Seguridad y Protección Ciudadana (renunció tres meses más tarde).

Durante meses, al nuevo gobierno no le interesó designar un nuevo coordinador antisecuestro: la oficina quedó en manos de un encargado. Y comenzó, al mismo tiempo, el recorte y el desmantelamiento de las UECS: la “Austeridad Republicana”. En menos de seis meses, todo explotó.

Lo mismo ocurrió en la CDMX: la fuerza antisecuestro fue desmantelada: investigadores con experiencia de años en la negociación de secuestros, el manejo de crisis, la investigación de campo, los operativos tácticos, fueron removidos sin atender a sus certificaciones.

Había corrupción, fallaban muchas cosas, desde luego. Pero ahí están las cifras, las tercas cifras que indican que otra vez privó la soberbia, el desconocimiento, la improvisación.

El sábado, la jefa de gobierno aplaudía en un mitin en Tijuana. En la ciudad, los delincuentes negociaban sobre un cadáver. Luego, las versiones cambiaron.
 

@hdemauleon[email protected]
",Negociaron sobre un cadáver,https://www.eluniversal.com.mx/columna/hector-de-mauleon/nacion/negociaron-sobre-un-cadaver
" 0 % PULSO SOCIAL0 Aunque depende de la raza, a partir de los 10 años, los perros y gatos ya se consideran ancianos, es decir, nuestras mascotas entran a la llamada tercera edad. Pero si les damos una buena calidad de vida, algunas llegan a vivir entre 16 y 18 años.
Hay que tener claro que los cuidados que le damos a diario a nuestra mascota en su juventud, ya sea un perro o un gato, marcará su nivel de salud cuando sea considerado un “ancianito”.
Las mascotas con dueños ""gorditos"" también son ""gorditas""
La vejez es una etapa más en la vida de una mascota, no una enfermedad, pero entre más viejitos se ponen los peludos, más cuidados requieren.
",,https://de10.com.mx/vivir-bien/10-consejos-para-cuidar-tu-mascota-adulta
"Un puma de gran tamaño olfatea y recorre tranquilamente El Boquerón de Tonalá, uno de los ecosistemas más importantes del mundo y que se ubica en la Mixteca de Oaxaca. También conocido como león de montaña o puma concolor, este felino es una de las cuatro especies que habitan esta reserva natural que por más de 10  años ha sido conservada por habitantes de Santo Domingo Tonalá.    
Además de pumas, que de forma silvestre pueden vivir hasta 12 años, en esta área reservada para la conservación también habitan tigrillos, linces y  yaguarundíes, ejemplares de estas cuatros especies, de las seis que habitan en la entidad, han sido captados por las seis cámaras de fototrampeo que en 2011 instaló la Comisión Nacional de Áreas Naturales Protegidas (Conanp).
La llegada de este sistema de cámaras  transformó la vida en esta reserva donde se protege flora y fauna. Luego de varias décadas cuando  la cacería no podía contenerse, esta práctica se ha reducido  con la vigilancia, aseguran personal de la Conanp y los pobladores que se dedican a monitorear desde hace 11 años este ecosistema.
“Ahí estamos, ha cambiado mucho, ahorita el que mate un venado será muy escondido, ya hay un poco más de respeto”, platica Ubaldo Olivera, uno de los 16 propietarios de los terrenos dedicados a la conservación donde se extiende la reserva  y quienes  se encargan de proteger la zona.
La disminución de la cacería permite que la población de las especies se mantenga, explica el director de la Conanp en Oaxaca, Pavel Palacios Chávez: “Lo que se ha visto en ocho años es que la población se ha mantenido y se está reproduciendo, no hay una disminución de poblaciones, al menos como el puma, el venado y los otros se siguen manteniendo”, detalla.

La biodiversidad del mundo
El área de protección de El Boquerón de Tonalá comprende una superficie privada de 3 mil 912 hectáreas situadas en Santo Domingo Tonalá, municipio de la región de la Mixteca. Fue decretada Área Natural Protegida el 22 de septiembre de 2008.
Destaca por un cañón con paredes de alrededor de 100 metros de altura, por donde atraviesa el río Salado y por los parajes La pedrera y El limoncillo, donde habitan más de 600 especies de flora y fauna.
Aunque la selva baja caducifolia — con vegetación sin follaje—  no tiene la exuberancia de otros ecosistemas, su biodiversidad es tal que ahí se albergan 40% de las especies vegetales que existen a nivel mundial.
Entre esa variedad de plantas y árboles  destacan algunas que forman parte de la vida comunitaria, como  el palo santo, del cual la población cree que con éste se hizo la corona de espinas de Jesucristo.
 También se encuentran el aceitillo, usado por la comunidad para curar las heridas, y la flor de Jerusalén. De estas especies, el palo santo se encuentra en peligro de extinción, de acuerdo con la Conanp.
En cuanto a la fauna, además de las  cuatro especies de felinos, en la reserva tiene presencia  el venado cola blanca, el zorrillo, el tejón, el mapache, el armadillo y varias especies de  roedores.

Proteger como misión
Ubaldo Olivera, de 54 años, es uno de los 16 vigilantes dedicados a proteger El Boquerón de Tonalá. Ellos conforman el comité de vigilancia de Santa Catarina Tonalá, agencia del municipio de Santo Domingo Tonalá, el cual está integrado por ocho hombres y ocho mujeres, todos adultos mayores.
Para el comité,  la conservación de esta reserva natural es la prioridad.  Todos son adultos porque, dice Ubaldo, por la migración no hay ningún joven de la comunidad que participe en esta labor. Vigilan constantemente de día y de noche esta área para evitar la cacería, que aumenta en diciembre y en esta temporada, la Cuaresma.
Por las noches resguardan la zona desde la carretera y durante el día se encargan de poner agua en el cerro para los animales; adicional a ello, cada mes revisan las imágenes capturadas por las cámaras de fototrampeo para el registro del monitoreo.
“Nos gusta andar en el monte y todo, tener limpios todos los terrenos porque no podemos permitir que  nos estén cortando los palos, cuidamos a los animales”, expresa.
La mayor parte de su trabajo es con recursos propios, debido a que en años anteriores el presupuesto asignado por la Conanp ha sido insuficiente, y este año, con el cambio de gobierno  federal, los recursos se retrasaron más de tres meses.  “Nos capacitaron para las cámaras, nos cooperamos para comprar pilas, el agua, al mes son como 800 pesos”, platica Ubaldo, el cuidador.
Aunque  la cacería ha disminuido en comparación con 2008, año desde que el área se encuentra protegida, y sobre todo desde  que se instaló el sistema de fototrampeo, ahora el comité de vigilancia se enfrenta a  otras amenazas,  como la pesca ilegal en el río Salado, la cual aumenta desde marzo, debido a las personas que ingresan al Boquerón para capturar peces y venderlos. Hasta ahora, los 16 integrantes  no  pueden hacer nada para  evitarlo.

Recursos que no alcanzan
El Boquerón de Tonalá es una de las nueve zonas de conservación ubicadas en la Mixteca; una decretada por el gobierno y el resto de manera voluntaria. En total, suman 8 mil hectáreas destinadas a la protección,  en las que se encuentran 70 cámaras  para el monitoreo de  especies.
Todas forman parte   del proyecto de conservación que impulsa  la Conanp en conjunto con las comunidades de la región.
Además de Tonalá,  destacan el cerro de la Culebra, en San Marcos Arteaga; el cerro del Organal, en Yosocuta, Santa María Tindú y Santa María Natividad.
En total, en territorio oaxaqueño  son más de 140 las áreas destinadas voluntariamente a la conservación, además de otras  ocho decretadas por el gobierno federal. Esta cifra  coloca a Oaxaca en el primer lugar nacional  en esta  iniciativa de  proteger sus recursos naturales, destaca Pavel Palacios,  director de la Conanp.
Pese a ello, el presupuesto es insuficiente y al retraso de los recursos federales Palacios suma que los gobiernos estatales y municipales no destinan nada a la conservación. “Sigue siendo un presupuesto que sólo está sosteniendo la Conanp, se necesita también inversión por parte del gobierno del estado, de las mismas autoridades locales que se sumen”, señala.
El monitoreo que hace la Conanp ha permitido que se confirme que en el estado hay equilibrio en el ecosistema de los sitios vigilados. Hasta el momento, el sistema  de fototrampeo ha capturado 84 mil 111 imágenes de fauna silvestre en las zonas de conservación  de la Mixteca, Sierra Norte y Valles Centrales.
",La biodiversidad que se protege en la Mixteca oaxaqueña,http://oaxaca.eluniversal.com.mx/especiales/10-04-2019/la-biodiversidad-que-se-protege-en-la-mixteca-oaxaquena
"
[email protected]

El exdirector de Petróleos Mexicanos (Pemex), Emilio Lozoya Austin, y su hermana consiguieron frenar, por ahora, cualquier orden de aprehensión en su contra; sin embargo, deberán presentarse ante los jueces que los requieren con la posibilidad de que el Ministerio Público Federal les formule imputación.

Los jueces Octavo y Decimocuarto de Distrito de Amparo en Materia Penal en la Ciudad de México concedieron las suspensiones definitivas a Lozoya Austin y su hermana Gilda, por lo que ninguno de ellos podrá ser detenido hasta que se resuelvan los amparos que tramitaron.

Para ello, ambos deberán cumplir con una serie de requisitos entre los que destaca el pago de garantías, presentarse a firmar periódicamente ante el juez de amparo y ponerse a disposición del juez de Control en el Reclusorio Norte, quien emitió la orden para capturar al exdirector de Pemex y el del Reclusorio Sur, quien ordenó aprehender a su hermana.

Debido a que los actos en los amparos que ambos tramitaron únicamente reclamaron la emisión de las órdenes de aprehensión y no la investigación que la Fiscalía General de la República (FGR) realiza, los jueces de Control deberán entregarles constancia de que comparecieron ante ellos.

Una vez realizado esto, los jueces definirán si la Fiscalía General de la República puede formular imputación o si suspenderán los procedimientos hasta en tanto se resuelvan los amparos.

La orden de aprehensión contra Emilio Lozoya fue emitida la semana pasada derivada de la investigación que realiza la FGR por la compra de Agronitrogenados, planta propiedad de Altos Hornos de México S. A. (AHMSA), realizada por la institución petrolera en 2014.

Ordenan que se presente ante juez. La suspensión concedida a su favor por la jueza Octava de Distrito de Amparo en Materia Penal de la Ciudad de México respondió, de acuerdo con lo informado por el Consejo de la Judicatura Federal (CJF), a que el juez del Reclusorio Norte no lo requiere por ningún delito que merezca prisión preventiva de oficio o grave.

EL UNIVERSAL informó que Lozoya y el dueño de AHMSA, Alonso Ancira, son investigados por al menos tres delitos: defraudación fiscal, lavado de dinero y cohecho.

En su sentencia interlocutoria, el juez de Amparo ordenó al exdirector de Pemex que, en un lapso de tres días hábiles, comparezca ante el juez de Control y se ponga a su disposición, por lo que también deberá acudir ante él tantas y cuantas veces sea citado o requerido.

La FGR precisó que Lozoya deberá presentarse ante el Juzgado de Amparo los días lunes, en un horario de 10:00 a 14:00 horas, para que firme en el SISE-CB, y también deberá exhibir una garantía por 500 mil pesos para conservar la suspensión definitiva.

El caso de la hermana. En el caso de Gilda Lozoya Austin, quien es requerida por un juez de Control del Reclusorio Sur, el titular del Juzgado Decimocuarto de Distrito le concedió la suspensión definitiva y le requirió una garantía de 10 mil pesos.

La hermana del exfuncionario de la petrolera también deberá comparecer y ponerse a disposición en un lapso de cinco días hábiles ante la juez quien ordenó detenerla.

Deberá registrar su asistencia en el sistema de control biométrico del Juzgado de Amparo los días lunes de cada semana o al día siguiente hábil, si aquel no lo fuere.

En el mismo juzgado, Marielle Helene Eckes, esposa del exfuncionario, solicitó un amparo contra aprehensión, pero el juez aún no ha definido si le concederá o no la suspensión definitiva, porque todavía no han rendido todos los informes las autoridades responsables.

Situación de la madre. Además, el juez Sexto de Distrito concedió la suspensión definitiva a la madre del extitular de Pemex Gilda Margarita Austin y Solís contra cualquier orden de aprehensión; no obstante, negó la medida solicitada por su hermano Juan Jesús Javier Lozoya Austin, debido a que las autoridades que señaló como responsables informaron que no existe ninguna orden de captura en su contra.
",Lozoya y su familia libran órdenes de aprehensión,http://www.eluniversal.com.mx/nacion/politica/lozoya-y-su-familia-libran-ordenes-de-aprehension
"A pesar de su delicioso sabor, el tequila provoca en nuestro cuerpo un efecto negativo que se denomina estrés oxidativo y se refiere a un proceso de oxidación celular que ocurre en nuestro cuerpo cuando consumimos alcohol debido a los radicales libres que se encuentran en esta sustancia, es decir, nos envejece.
Para tratar de combatir este proceso, científicos de la Universidad de Colima  desarrollaron un proceso para extraer los antioxidantes que se encuentran en la nuez y añadirlos al tequila para aminorar el efecto de estrés oxidativo que produce esta bebida.
“El estrés oxidativo puede provocar daño celular a nivel de membranas y macromoléculas, además de encontrarse relacionado atrastornos neurodegenerativos, pero los antioxidantes de la cáscara de nuez ayudarían a retrasar los daños de oxidación celular”, señaló uno de los investigadores del proyecto a la Agencia Investigación y Desarrollo (ID).
Para lograr este efecto antioxidante, los responsables de la investigación utilizaron nuez pecanera o Caya illinoensis, uno de los frutos secos de mayor producción en México. Se escogió la nuez debido a que este tipo de semillas (nueces, almendras, piñones) poseen alto contenido de antioxidantes.
Lo interesante de este proyecto es que ese mismo proceso podría replicarse a otras bebidas con lo cual el efecto oxidativo podría ser contrarrestado para todo tipo de bebidas alcohólicas, esto sin interferir con su sabor, ya que los compuestos obtenidos en el proceso biotecnológico no afectaron ni modificaron el sabor del tequila.
El tequila modificado ha sido probado en consumidores de la región y ha tenido buena aceptación por lo que se esperan que pronto eltequila antienvejecimiento esté disponible en el mercado.
",,https://www.elbotiquin.mx/medicina-general/crean-tequila-que-previene-envejecimiento
